symptoms,disease
nasal congestion allergic reaction sore throat headache ear pain coryza itchiness of eye frontal headache,Seasonal allergies (hay fever)
shortness of breath fatigue decreased appetite hemoptysis drainage in throat leg weakness smoking problems,Lung cancer
shortness of breath fatigue drainage in throat leg weakness smoking problems,Lung cancer
shortness of breath fatigue decreased appetite hemoptysis drainage in throat smoking problems,Lung cancer
eye deviation double vision cross eyed symptoms of eye pain in eye eye moves abnormally abnormal movement of eyelid foreign body sensation in eye lack of growth irregular appearing scalp swollen lymph nodes,Eye alignment disorder
eye deviation double vision pain in eye eye moves abnormally abnormal movement of eyelid foreign body sensation in eye lack of growth irregular appearing scalp swollen lymph nodes,Eye alignment disorder
eye deviation double vision cross eyed symptoms of eye pain in eye eye moves abnormally abnormal movement of eyelid foreign body sensation in eye lack of growth,Eye alignment disorder
eye deviation double vision cross eyed symptoms of eye pain in eye abnormal movement of eyelid foreign body sensation in eye lack of growth irregular appearing scalp swollen lymph nodes,Eye alignment disorder
eye deviation double vision pain in eye eye moves abnormally abnormal movement of eyelid lack of growth irregular appearing scalp swollen lymph nodes,Eye alignment disorder
eye deviation double vision cross eyed symptoms of eye pain in eye abnormal movement of eyelid foreign body sensation in eye lack of growth,Eye alignment disorder
headache back pain vomiting dizziness neck pain low back pain pain of the anus pain during pregnancy painful urination pelvic pain impotence,Headache after lumbar puncture
headache back pain neck pain low back pain pain of the anus pain during pregnancy painful urination pelvic pain impotence,Headache after lumbar puncture
headache back pain vomiting dizziness neck pain low back pain pain of the anus pain during pregnancy painful urination,Headache after lumbar puncture
headache back pain vomiting dizziness neck pain pain of the anus pain during pregnancy painful urination pelvic pain impotence,Headache after lumbar puncture
headache back pain neck pain low back pain pain of the anus painful urination pelvic pain impotence,Headache after lumbar puncture
headache back pain vomiting dizziness neck pain pain of the anus pain during pregnancy painful urination,Headache after lumbar puncture
vomiting infant spitting up vomiting blood cough arm stiffness or tightness regurgitation burning abdominal pain restlessness pain during pregnancy symptoms of infants wheezing,Pyloric stenosis
vomiting infant spitting up arm stiffness or tightness regurgitation burning abdominal pain restlessness pain during pregnancy symptoms of infants wheezing,Pyloric stenosis
vomiting infant spitting up vomiting blood cough arm stiffness or tightness regurgitation burning abdominal pain restlessness pain during pregnancy,Pyloric stenosis
vomiting infant spitting up vomiting blood cough arm stiffness or tightness burning abdominal pain restlessness pain during pregnancy symptoms of infants wheezing,Pyloric stenosis
vomiting infant spitting up arm stiffness or tightness regurgitation burning abdominal pain pain during pregnancy symptoms of infants wheezing,Pyloric stenosis
vomiting infant spitting up vomiting blood cough arm stiffness or tightness burning abdominal pain restlessness pain during pregnancy,Pyloric stenosis
sore throat neck mass ear pain swollen lymph nodes throat feels tight facial pain skin swelling jaw swelling cough mouth dryness neck swelling,Salivary gland disorder
sore throat neck mass throat feels tight facial pain skin swelling jaw swelling cough mouth dryness neck swelling,Salivary gland disorder
sore throat neck mass ear pain swollen lymph nodes throat feels tight facial pain skin swelling jaw swelling cough,Salivary gland disorder
sore throat neck mass ear pain swollen lymph nodes throat feels tight skin swelling jaw swelling cough mouth dryness neck swelling,Salivary gland disorder
sore throat neck mass throat feels tight facial pain skin swelling cough mouth dryness neck swelling,Salivary gland disorder
sore throat neck mass ear pain swollen lymph nodes throat feels tight skin swelling jaw swelling cough,Salivary gland disorder
knee pain bowlegged or knock kneed ankle pain bones are painful knee weakness hand or finger pain elbow pain knee swelling skin moles knee lump or mass weight gain,Osteochondrosis
knee pain bowlegged or knock kneed knee weakness hand or finger pain elbow pain knee swelling skin moles knee lump or mass weight gain,Osteochondrosis
knee pain bowlegged or knock kneed ankle pain bones are painful knee weakness hand or finger pain elbow pain knee swelling skin moles,Osteochondrosis
knee pain bowlegged or knock kneed ankle pain bones are painful knee weakness elbow pain knee swelling skin moles knee lump or mass weight gain,Osteochondrosis
knee pain bowlegged or knock kneed knee weakness hand or finger pain elbow pain skin moles knee lump or mass weight gain,Osteochondrosis
knee pain bowlegged or knock kneed ankle pain bones are painful knee weakness elbow pain knee swelling skin moles,Osteochondrosis
knee pain leg pain problems with movement knee stiffness or tightness leg swelling knee weakness foot or toe swelling heartburn smoking problems,Injury to the knee
knee pain leg pain leg swelling knee weakness foot or toe swelling heartburn smoking problems,Injury to the knee
knee pain leg pain problems with movement knee stiffness or tightness leg swelling foot or toe swelling heartburn smoking problems,Injury to the knee
knee pain leg pain leg swelling knee weakness foot or toe swelling smoking problems,Injury to the knee
weight gain mouth dryness muscle pain smoking problems infant feeding problem recent weight loss problems with shape or size of breast arm stiffness or tightness underweight difficulty eating scanty menstrual flow,Metabolic disorder
weight gain mouth dryness infant feeding problem recent weight loss problems with shape or size of breast arm stiffness or tightness underweight difficulty eating scanty menstrual flow,Metabolic disorder
weight gain mouth dryness muscle pain smoking problems infant feeding problem recent weight loss problems with shape or size of breast arm stiffness or tightness underweight,Metabolic disorder
weight gain mouth dryness muscle pain smoking problems infant feeding problem problems with shape or size of breast arm stiffness or tightness underweight difficulty eating scanty menstrual flow,Metabolic disorder
weight gain mouth dryness infant feeding problem recent weight loss problems with shape or size of breast underweight difficulty eating scanty menstrual flow,Metabolic disorder
weight gain mouth dryness muscle pain smoking problems infant feeding problem problems with shape or size of breast arm stiffness or tightness underweight,Metabolic disorder
vaginal discharge sharp abdominal pain painful urination vaginal pain lower abdominal pain pelvic pain vaginal redness suprapubic pain pain during pregnancy vulvar irritation pain during intercourse,Vaginitis
vaginal discharge sharp abdominal pain lower abdominal pain pelvic pain vaginal redness suprapubic pain pain during pregnancy vulvar irritation pain during intercourse,Vaginitis
vaginal discharge sharp abdominal pain painful urination vaginal pain lower abdominal pain pelvic pain vaginal redness suprapubic pain pain during pregnancy,Vaginitis
vaginal discharge sharp abdominal pain painful urination vaginal pain lower abdominal pain vaginal redness suprapubic pain pain during pregnancy vulvar irritation pain during intercourse,Vaginitis
vaginal discharge sharp abdominal pain lower abdominal pain pelvic pain vaginal redness pain during pregnancy vulvar irritation pain during intercourse,Vaginitis
vaginal discharge sharp abdominal pain painful urination vaginal pain lower abdominal pain vaginal redness suprapubic pain pain during pregnancy,Vaginitis
dizziness shortness of breath palpitations fainting weakness irregular heartbeat decreased heart rate increased heart rate bleeding or discharge from nipple,Sick sinus syndrome
dizziness shortness of breath weakness irregular heartbeat decreased heart rate increased heart rate bleeding or discharge from nipple,Sick sinus syndrome
dizziness shortness of breath palpitations fainting weakness decreased heart rate increased heart rate bleeding or discharge from nipple,Sick sinus syndrome
dizziness shortness of breath weakness irregular heartbeat decreased heart rate bleeding or discharge from nipple,Sick sinus syndrome
ringing in ear dizziness ear pain headache plugged feeling in ear itchy ear s frontal headache symptoms of eye hoarse voice fluid in ear neck stiffness or tightness,Tinnitus of unknown cause
ringing in ear dizziness plugged feeling in ear itchy ear s frontal headache symptoms of eye hoarse voice fluid in ear neck stiffness or tightness,Tinnitus of unknown cause
ringing in ear dizziness ear pain headache plugged feeling in ear itchy ear s frontal headache symptoms of eye hoarse voice,Tinnitus of unknown cause
ringing in ear dizziness ear pain headache plugged feeling in ear frontal headache symptoms of eye hoarse voice fluid in ear neck stiffness or tightness,Tinnitus of unknown cause
ringing in ear dizziness plugged feeling in ear itchy ear s frontal headache hoarse voice fluid in ear neck stiffness or tightness,Tinnitus of unknown cause
ringing in ear dizziness ear pain headache plugged feeling in ear frontal headache symptoms of eye hoarse voice,Tinnitus of unknown cause
diminished vision symptoms of eye spots or clouds in vision eye redness lacrimation itchiness of eye blindness eye burns or stings foreign body sensation in eye itchy eyelid feeling cold,Glaucoma
diminished vision symptoms of eye lacrimation itchiness of eye blindness eye burns or stings foreign body sensation in eye itchy eyelid feeling cold,Glaucoma
diminished vision symptoms of eye spots or clouds in vision eye redness lacrimation itchiness of eye blindness eye burns or stings foreign body sensation in eye,Glaucoma
diminished vision symptoms of eye spots or clouds in vision eye redness lacrimation blindness eye burns or stings foreign body sensation in eye itchy eyelid feeling cold,Glaucoma
diminished vision symptoms of eye lacrimation itchiness of eye blindness foreign body sensation in eye itchy eyelid feeling cold,Glaucoma
diminished vision symptoms of eye spots or clouds in vision eye redness lacrimation blindness eye burns or stings foreign body sensation in eye,Glaucoma
depression depressive or psychotic symptoms decreased appetite abusing alcohol excessive appetite difficulty eating weight gain excessive anger insomnia vomiting blood acne or pimples,Eating disorder
depression depressive or psychotic symptoms excessive appetite difficulty eating weight gain excessive anger insomnia vomiting blood acne or pimples,Eating disorder
depression depressive or psychotic symptoms decreased appetite abusing alcohol excessive appetite difficulty eating weight gain excessive anger insomnia,Eating disorder
depression depressive or psychotic symptoms decreased appetite abusing alcohol excessive appetite weight gain excessive anger insomnia vomiting blood acne or pimples,Eating disorder
depression depressive or psychotic symptoms excessive appetite difficulty eating weight gain insomnia vomiting blood acne or pimples,Eating disorder
depression depressive or psychotic symptoms decreased appetite abusing alcohol excessive appetite weight gain excessive anger insomnia,Eating disorder
loss of sensation headache weakness focal weakness slurring words difficulty speaking symptoms of the face depressive or psychotic symptoms diminished vision disturbance of memory paresthesia,Transient ischemic attack
loss of sensation headache slurring words difficulty speaking symptoms of the face depressive or psychotic symptoms diminished vision disturbance of memory paresthesia,Transient ischemic attack
loss of sensation headache weakness focal weakness slurring words difficulty speaking symptoms of the face depressive or psychotic symptoms diminished vision,Transient ischemic attack
loss of sensation headache weakness focal weakness slurring words symptoms of the face depressive or psychotic symptoms diminished vision disturbance of memory paresthesia,Transient ischemic attack
loss of sensation headache slurring words difficulty speaking symptoms of the face diminished vision disturbance of memory paresthesia,Transient ischemic attack
loss of sensation headache weakness focal weakness slurring words symptoms of the face depressive or psychotic symptoms diminished vision,Transient ischemic attack
side pain sharp abdominal pain back pain vomiting nausea painful urination low back pain lower abdominal pain blood in urine suprapubic pain frequent urination,Pyelonephritis
side pain sharp abdominal pain nausea painful urination low back pain lower abdominal pain blood in urine suprapubic pain frequent urination,Pyelonephritis
side pain sharp abdominal pain back pain vomiting nausea painful urination low back pain lower abdominal pain blood in urine,Pyelonephritis
side pain sharp abdominal pain back pain vomiting nausea low back pain lower abdominal pain blood in urine suprapubic pain frequent urination,Pyelonephritis
side pain sharp abdominal pain nausea painful urination low back pain blood in urine suprapubic pain frequent urination,Pyelonephritis
side pain sharp abdominal pain back pain vomiting nausea low back pain lower abdominal pain blood in urine,Pyelonephritis
shoulder pain shoulder stiffness or tightness shoulder weakness arm cramps or spasms arm stiffness or tightness neck stiffness or tightness hand or finger stiffness or tightness shoulder swelling tongue lesions leg cramps or spasms abnormal appearing tongue,Rotator cuff injury
shoulder pain shoulder stiffness or tightness arm stiffness or tightness neck stiffness or tightness hand or finger stiffness or tightness shoulder swelling tongue lesions leg cramps or spasms abnormal appearing tongue,Rotator cuff injury
shoulder pain shoulder stiffness or tightness shoulder weakness arm cramps or spasms arm stiffness or tightness neck stiffness or tightness hand or finger stiffness or tightness shoulder swelling tongue lesions,Rotator cuff injury
shoulder pain shoulder stiffness or tightness shoulder weakness arm cramps or spasms arm stiffness or tightness hand or finger stiffness or tightness shoulder swelling tongue lesions leg cramps or spasms abnormal appearing tongue,Rotator cuff injury
shoulder pain shoulder stiffness or tightness arm stiffness or tightness neck stiffness or tightness hand or finger stiffness or tightness tongue lesions leg cramps or spasms abnormal appearing tongue,Rotator cuff injury
shoulder pain shoulder stiffness or tightness shoulder weakness arm cramps or spasms arm stiffness or tightness hand or finger stiffness or tightness shoulder swelling tongue lesions,Rotator cuff injury
back pain ache all over leg pain neck pain headache sharp abdominal pain shoulder pain knee pain hip pain pelvic pain lower body pain,Chronic pain disorder
back pain ache all over headache sharp abdominal pain shoulder pain knee pain hip pain pelvic pain lower body pain,Chronic pain disorder
back pain ache all over leg pain neck pain headache sharp abdominal pain shoulder pain knee pain hip pain,Chronic pain disorder
back pain ache all over leg pain neck pain headache shoulder pain knee pain hip pain pelvic pain lower body pain,Chronic pain disorder
back pain ache all over headache sharp abdominal pain shoulder pain hip pain pelvic pain lower body pain,Chronic pain disorder
back pain ache all over leg pain neck pain headache shoulder pain knee pain hip pain,Chronic pain disorder
sharp abdominal pain problems during pregnancy lower abdominal pain spotting or bleeding during pregnancy nausea headache back pain vomiting burning abdominal pain pelvic pain cramps and spasms,Problem during pregnancy
sharp abdominal pain problems during pregnancy nausea headache back pain vomiting burning abdominal pain pelvic pain cramps and spasms,Problem during pregnancy
sharp abdominal pain problems during pregnancy lower abdominal pain spotting or bleeding during pregnancy nausea headache back pain vomiting burning abdominal pain,Problem during pregnancy
sharp abdominal pain problems during pregnancy lower abdominal pain spotting or bleeding during pregnancy nausea back pain vomiting burning abdominal pain pelvic pain cramps and spasms,Problem during pregnancy
sharp abdominal pain problems during pregnancy nausea headache back pain burning abdominal pain pelvic pain cramps and spasms,Problem during pregnancy
sharp abdominal pain problems during pregnancy lower abdominal pain spotting or bleeding during pregnancy nausea back pain vomiting burning abdominal pain,Problem during pregnancy
sharp abdominal pain stomach bloating changes in stool appearance decreased appetite unusual color or odor to urine increased heart rate kidney mass swollen abdomen symptoms of prostate leg stiffness or tightness groin mass,Liver cancer
sharp abdominal pain stomach bloating unusual color or odor to urine increased heart rate kidney mass swollen abdomen symptoms of prostate leg stiffness or tightness groin mass,Liver cancer
sharp abdominal pain stomach bloating changes in stool appearance decreased appetite unusual color or odor to urine increased heart rate kidney mass swollen abdomen symptoms of prostate,Liver cancer
sharp abdominal pain stomach bloating changes in stool appearance decreased appetite unusual color or odor to urine kidney mass swollen abdomen symptoms of prostate leg stiffness or tightness groin mass,Liver cancer
